med_condition_id,med_condition
275,HEPATITE C
77,HYPERACTIVITÉ NEUROGÈNE DU DÉTRUSOR
729,STÉNOSE DES VEINES PULMONAIRES
92,GLIOME MALIN
184,CANCER OVARIEN - PÉRITONÉAL PRIMITIF
495,MASTOCYTOSE SYSTÉMIQUE INDOLENTE
45,SURCHARGE CHRONIQUE EN FER EXIGEANT UN TRAITEMENT PAR CHÉLATION
971,MYCOSIS FONGOIDE
563,CRITIQUE DES MEMBRES INFÉRIEURS
764,CANCERS HYPERMUTANTS
767,DIABÈTE SUCRÉ GESTATIONNEL
62,CYTOMÉGALOVIRUS
142,MALADIE DU FOIE
397,SPONDYLARTHRITE ANKYLOSANTE
584,SYNDROME DES ANTIPHOPHOLIPIDES
856,MALADIE DE CHARCOT-MARIE-TOOTH TYPE 1A
165,LEUCÉMIE MYÉLOÏDE
87,GAUCHER DISEASE TYPE 1
479,SYNDROME DE HUNTER
624,DÉGÉNÉRESCENCE LOBAIRE FRONTO-TEMPORALE
460,MEDULLOBLASTOME
660,ACCIDENT VASCULAIRE EMBOLIQUE
661,EMBOLIE SYSTÉMIQUE
1049,MYOPATHIE MYOTUBULAIRE
513,MYÉLOFIBROSE POST-THROMBOCYTHÉMIE ESSENTIELLE
93,GOUTTE
220,DYSFONCTIONNEMENT RÉNAL
316,TROUBLE OBSESSIONNEL COMPULSIF
305,DELERIUM
561,MÉLANOME NÉGATIF AU NRAS
318,DYSTROPHINOPATHIE AVEC MUTATION NONSENS
312,TROUBLES PSYCHOTIQUES
270,SYNDROME MYASTHÉNIQUE LAMBERT-EATON (SMLE)
160,MUCOPOLYSACCHARIDOSE IVA (SYNDROME DE MORQUIO)
200,THROMBOCYTÉMIE ESSENTIELLE
430,NEUROFIBROMATOSE DE TYPE I
143,DYSFONCTION HÉPATIQUE / DU FOIE
540,CARDIOMYOPATHIE HYPERTROPHIQUE SARCOMÉRIQUE PRÉCOCE
156,MÉNINGITE B
705,THROMBOPHILIE HÉRÉDITAIRE
484,TRANSPLANTATION HÉPATIQUE
477,SYNDROME POSTÉRIEUR À LA POLIO
119,VIRUS DU PAPILLOME HUMAIN (VPH)
909,SARCOÏDOSE CARDIAQUE
912,D'HYPERTENSION INTRACRÂNIENNE IDIOPATHIQUE
806,STÉATOSE HÉPATIQUE
811,MALADIES AUTOINFLAMMATOIRES MONOGENIQUES DICTEE PAR IL-18
809,HEPATITE AUTO-IMMUNE
309,SCLÉROSE TUBÉREUSE DE BOURNEVILLE
686,SARCOMES AU COURS DE L'ENFANCE
652,NÉVRITE OPTIQUE AIGUË
785,DÉFICIT EN ORNITHINE CARBAMYL TRANSFÉRASE
841,CARDIOMYOPATHIE DILATÉE
193,LYMPHOME T PÉRIPHÉRIQUE
439,TROUBLES GASTRO-INTESTINAUX
614,SAIGNEMENTS MAJEURS SÉVÈRES
23,OESOPHAGE DE BARRETT
358,ÉVÉNEMENTS ISCHÉMIQUES
1051,LACÉRATION DES NERFS DE LA MAIN
542,CARDIOMYOPATHIE AMYLOÏDE TRANSTHYRÉTINIENNE
838,D'ALOPÉCIE EN AIRES
103,VIRUS DE L'HÉPATITE B
851,CHIRURGIE GASTRO-INTESTINALE
571,TUMEURS SOLIDES AVANCÉES
392,ÉPILEPSIE
1038,ALLERGIE AU LAIT DE VACHE
258,COLITE ULCÉREUSE
27,MÉTASTASES CÉRÉBRALES
212,OSTÉOARTHRITE DU GENOU
186,DOULEUR
311,LUPUS ÉRYTHÉMATEUX DISSÉMINÉ
137,MALADIE DU REIN
1,ACNÉ
792,PRURIT
362,LEUCÉMIE LYMPOIDE CHRONIQUE
892,PETIT LYMPHOME LYMPHOCYTAIRE
356,CANCER DU COL DE L'UTÉRUS
525,CHIRURGIE DE L'ÉPAULE
689,PSORIASIS EN PLAQUES CHRONIQUE
281,THROMBOLYSE
957,TOXICITE IMMUNITAIRE
4,RHUMATISME PSORIASIQUE ÉVOLUTIF
153,MÉSOTHÉLIOME PLEURAL MALIN
922,HYPEROXALURIE
548,DOULEUR CHRONIQUE DU SCROTUM
648,PURPURA THROMBOPÉNIQUE THROMBOTIQUE
252,SYNDROME DE TOURETTE
697,SYNDROME DE L'INTESTIN COURT
538,ÉVÈNEMENTS CARDIOVASCULAIRES MAJEURS
794,STÉATOSE HÉPATIQUE NON ALCOOLIQUE (SHNA)
773,CANCER DU SYSTÈME NERVEUX CENTRAL
1021,SURVIVANTS DU CANCER
505,"CANCER DU POUMON NON À PETITES CELLULES, AVANCÉ LOCALEMENT OU MÉTASTATIQUE"
747,LEUCÉMIE MYÉLOMONOCYTAIRE CHRONIQUE (LMMC-2)
166,LEUCÉMIE MYÉLOMONOCYTAIRE
63,DIABÈTE SUCRÉ
188,TUMEURS NEUROENDOCRINES DU PANCRÉAS
710,SARCOME SYNOVIAL
136,ARTHRITE IDIOPATHIQUE JUVÉNILE
1050,SYNDROME D'ANGELMAN
268,MALADIE DE VON WILLEBRAND
229,CRISES
876,SYNDROME COMPLEXE DE LA DOULEUR LOCALE
866,FONCTION  PULMONAIRE
1043,CANCER GASTRO-OEOPHAGIEN
452,MALADIE CHOLESTATIQUE DU FOIE
1033,TUMEURS SOLIDES GANGLIONNAIRES
1032,FISTULE PÉRIANALE COMPLEXE
1065,SYNDROME PRIMAIRE DE  SJOGREN (SPSJ)
82,CHYLOMICRONÉMIE FAMILIALE
1063,HERNIE
942,MALADIES PNEUMOCOCCIQUES
66,DOULEUR NEUROPATHIQUE DIABÉTIQUE
572,TÉLANGIECTASIE HÉMORRAGIQUE HÉRÉDITAIRE
816,HYPOPARATHYROIDISME
349,HYPERTRIGLYCÉRIDÉMIE
1036,TUMEURS MALIGNES DE CELLULES T
665,CANCER MALIN AVANCÉ
114,DOULEUR À LA HANCHE
85,SYNDROME DE L'X FRAGILE
882,STAPHYLOCOCCUS AUREUS RÉSISTANT À LA MÉTHICILLINE (SARM)
497,BRONCHIECTASIE NON LIÉE À LA FIBROSE KYSTIQUE
86,TUMEUR STROMALE GASTRO-INTESTINALE (GIST)
683,RÉTINOPATHIE DIABÉTIQUE NON PROLIFÉRATIVE
289,HERPES ZOSTER
673,SPONDYLARTHRITE AXIALE
379,RIDES FRONTALES
962,EPANCHEMENT PLEURAUS MALINS
715,TROUBLES LIÉS À L'UTILISATION D'ALCOOL
682,PSORIASIS DES ORGANES GÉNITAUX
271,HYPERKALIÉMIE
943,SYMPTÔMES VASOMOTEURS POSTMONOPAUSIQUE
440,LYMPHOPATHIE MALIGNE
139,HISTIOCYTOSE À CELLULES DE LANGERHANS
483,HYPERTENSION PULMONAIRE
583,CHOCS SEPTIQUES
603,RHUME
512,CARCINOME NON SQUAMEUX DU POUMON
390,DÉGÉNÉRESCENCE MACULAIRE  LIÉE À L'ÂGE AVEC NÉOVASCULARISATION RÉTROFOVÉOLAIRE
658,APPENDICITE
977,CANCER AVANCÉ POSITIF MRRH/DRH
211,MYÉLOFIBROSE PRIMAIRE
65,NÉPHROPATHIE DIABÉTIQUE
464,FIBROSE DU MYOCARDE
500,HYPERTENSION PULMONAIRE CAPILLAIRE PRÉALABLE OU CONSÉCUTIVE (CPCPH)
272,ANGINE DE POITRINE
145,FAIBLE DENSITÉ MINÉRALE OSSEUSE
276,CONSTIPATION INDUITE PAR LES OPIOÏDES
290,PRODUCTION DE PARTICULES DE LIPOPRTÉINE
286,BOURSOUFLURES
282,L'ENCÉPHALOPATHIE HÉPATIQUE
406,PLIS D'ACCORDÉON
355,FIBROME UTÉRIN
141,SPASTICITÉ DES MEMBRES
629,INDICATION POUR UNE SCINTIGRAPHIE THYROÏDIENNE
510,HYPERTENSION PULMONAIRE SYMPTOMATIQUE ASSOCIÉE À DES PNEUMONIES IDIOPATHIQUES INTERSTITIELLES
567,LÉSIONS KYSTIQUES
526,THROMBOSES VEINEUSES SUPERFICIELLES ET SYMPTOMATIQUES DE LA JAMBE
562,PROCÉDURES NEUROCHIRURGICALES CRÂNIENNES
262,TROUBLES DU CYCLE DE L'URÉE
608,HYPOSPADIAS
602,INSUFFISANCE HÉPATIQUE
580,POLYANGÉITE MICROSCOPIQUE
469,FRACTURES OSSEUSES
898,NEUROPATHIE OPTIQUE
905,CANCER DE LA CAVITÉ ORALE
382,CHLORÏDÉRÉMIE
923,TROUBLES DE L'HUMEUR ET METABOLISME
807,SYNDROME UPSHAW-SCHULMAN
772,CIRRHOSE DU FOIE
751,THROMBOPHYLAXIE
740,ADENOCARCINOME RECTAL
372,CARDIOMYOPATHIE DILATÉE DE NATURE ISCHÉMIQUE
374,PROGRAMME DE TECHNOLOGIE DE REPRODUCTION ASSISTÉE
381,VIEILLISEMENT DU VISAGE
684,PLAQUE D'ATHÉROSCLÉROSE À LA CAROTIDE
845,DYSPHAGIE
788,TROUBLE NEUROCOGNITIF
613,THÉRAPIE DAFFIRMATION DU SEXE
596,KÉRATOPROTHÈSE
412,HYPOTENSION POSPRANDIALE
15,SCLÉROSE LATÉRALE AMYOTROPHIQUE
576,SYNDROME DU CÔLON IRRITABLE
324,NEUROMYÉLITE OPTIQUE
179,CANCER DU POUMON NON À PETITES CELLULES
550,OESOPHAGITE ÉOSINOPHILIQUE
64,OEDÈME MACULAIRE DIABÉTIQUE
655,NÉPHROPATHIE À IMMUNOGLOBULINE A
1031,MALADIES LYMPHOPROLIFÉRATIVES LIÉES AU VIRUS EPSTEIN-BARR
146,MALADIE PULMONAIRE
100,HÉMOPHILIE B
386,MYÉLOME MULTIPLE RÉCIDIVANT OU RÉFRACTAIRE AU TRAITEMENT
399,URTICAIRE SPONTANÉE CHRONIQUE
842,GLIOME
1029,L'HYPOPLASIE DU COEUR GAUCHE (AUTO CELLULE-II)
317,SYNDROME MYÉLODYSPLASTIQUE
37,MALADIES CARDIOVASCULAIRES
265,AFFECTION VASCULAIRE
519,CARCINOME HÉPATOCELLULAIRE À UN STADE AVANCÉ
70,DYSTROPHIE MUSCULAIRE DE DUCHENNE
775,DÉFICIT EN ARGINASE-1
343,CANCER DE LA PROSTATE RÉSISTANT À LA CASTRATION
944,TUMEURS MYÉLOÏDES
527,"CANCER DU SEIN HER2-NÉGATIF LOCALEMENT AVANCÉ OU MÉTASTATIQUE, AVEC RÉCEPTEURS HORMONAUX POSITIFS"
1024,TRANSPLANTATION PULMONAIRE
654,NÉOPLASMES MYÉLOPROLIFÉRATIFS
12,ALLERGIES AUX ARACHIDES
953,PEMPHIGUS
427,DERMATOMYOSITE
264,INFECTION DES VOIES URINAIRES
323,DÉPRESSION
346,DÉMENCE FRONTO-TEMPORALE
438,HYPOTENSION ORTHOSTATIQUE
237,SARCOME DES TISSUS MOUS
817,LESION INTRAEPITHELIALE EPIDERMOIDE DE HAUT GRADE (LIEHG) DU COL DE L'UTERUS
827,CHIRURGIE
101,THROMBOCYTOPÉNIE INDUITE PAR L'HÉPARINE
38,MALADIE COELIAQUE
579,POLYANGÉITE
304,IRM IMAGERIE PAR RÉSONANCE MAGNÉTIQUE
132,CYSTITE INTERSTITIELLE/SYNDROME DE DOULEUR DE LA VESSIE
725,STÉATOHÉPATITE NON-ALCOOLIQUE
645,SPONDYLARTHRITE AXIALE ACTIVE
135,GREFFES D'ÎLOTS
981,PATHOLOGIES DES PLASMOCYTES
26,TUMEURS EXPRIMANT LA MUTATION BRAF
939,ASTHME ÉOSINOPHILIQUE
424,LYMPHOME DU MANTEAU
947,DYSKINÉSIE
782,LÉSION DU CARTILAGE ARTICULAIRE
659,SYMPTOMES VASOMOTEURS
890,DOULEUR PÉRIOPÉRATOIRE
1037,TUMEURS MALIGNES DE CELLULES B
695,POCHITE
1009,ULCÈRES DIABÉTIQUES DU PIED
131,INFLUENZA
597,TREMBLEMENTS ESSENTIELS
916,UNE SURDITÉ DE PERCEPTION
759,POLYPOSE NASALE
486,CANCER DE L'OROPHARYNX
51,CARCINOME COLORECTAL
605,HYPOTENSION
108,VIRUS DE L'HÉPATITE C DE GÉNOTYPE 3
670,TRAITEMENT DU MASSÉTER
294,CARDIOCHIRURGIE
96,HÉMODIALYSE
726,GINGIVOSTOMATITE HERPÉTIQUE AIGUË
701,GREFFE DE REIN
494,MASTOCYTOSE SYSTÉMIQUE COUVERTE
174,DOULEUR NEUROPATHIQUE
950,L'ÉPIDERMOLYSE BULLEUSE DYSTROPHIQUE RÉCESSIVE
415,EN SURPOIDS / OBÉSITÉ
757,LYMPHOMES DU SYSTÈME NERVEUX CENTRAL
3,SPONDYLARTHRITE ANKYLOSANTE ACTIVE
744,DÉPRESSION POST-PARTUM BIPOLAIRE
848,LEUCÉMIE MYÉLOÏDE CHRONIQUE (LMC)
850,SYNDROMES MYASTHÉNIQUES CONGÉNITAUX (SMC)
491,SYMPTOMES DE L'HUMEUR POST-PARTUM
175,NYCTURIE
199,POLYCYTHÉMIE VRAIE
489,MÉLANOME UVÉAL
620,"CÉPHALÉE VASCULAIRE DE HORTON, FORME ÉPISODIQUE"
657,CARDIOMYOPATHIE AMYLOIDOTIQUE FAMILIALE
238,MOELLE ÉPINIÈRE - LÉSION
470,POTENTIEL D'ABUS
515,THROMBOCYTOPÉNIE
672,SYNOVITE VILLO-NODULAIRE OU TUMEUR À CELLULES GÉANTES DE LA GAINE TENDINEUSE
520,KÉRATOSE ACTINIQUE
267,CARENCE EN VITAMINE
1034,ADN TUMORAL CIRCULANT (CTDNA) POSITIF
331,CARCINOME OVARIEN
348,HYPERLIPIDEMIE
508,CARDIOMYOPATHIE HYPERTROPHIQUE
236,SEVRAGE TABAGIQUE
334,SARCOME
46,LEUCÉMIE MYÉLOÏDE CHRONIQUE
260,TROUBLES PULMONAIRES
555,TUMEUR HYPOPHYSAIRE
556,TUMEUR ECTOPIQUE SÉCRÉTANT DE L'ACTH
560,MÉLANOME NÉGATIF AU BRAF
56,CORONAROPATHIE OU RISQUE ÉLEVÉ DE CORONAROPATHIE
322,CONSTIPATION IDIOPATHIQUE
360,NÉPHROPATHIE
472,DÉPRESSION VASCULAIRE
490,SYNDROME CARCINOIDE
539,FIÈVRE PÉRIODIQUE HÉRÉDITAIRE
485,POST-PROSTATECTOMIE
130,DÉFIBRILLATEUR AUTOMATIQUE IMPLANTABLE
532,MÉTASTASES HÉPATIQUES SEULEMENT DUN CANCER COLORECTAL
535,THALASSÉMIE DÉPENDANTE À LA TRANSFUSION
604,DYSKINÉSIE TARDIVE
577,VIRUS DE L'HEPATITE C DE GÉNOTYPE 4
503,SYNDROME DU CANAL CARPIEN
938,PYSCHOSE
900,LA TACHYCARDIE VENTRICULAIRE POLYMORPHE CATÉCHOLAMINERGIQUE (TVPC)
867,BLESSURE PULMONAIRE LIÉE AU RADIATION
642,TROUBLE DE LA PERSONNALITÉ
225,ROSACÉE
766,HYPERINSULINÉMIE CONGÉNITALE
823,ENCÉPHALOPATHIE ÉPILEPTIQUE RÉFRACTAIRE
832,MALADIES DU COEUR
711,TOMOGRAPHIE PAR ÉMISSION DE POSITRONS (TEP)
149,LEUCÉMIE LYMPHOCYTAIRE
941,DYSPLASIE ANALE
940,MALADIE OSTÉOMEDULLAIRE
354,AUTISME
375,SCINTIGRAPHIE DES OS
685,DÉMENCE NEURODÉGÉNÉRATIVE
732,DÉFICIENCE EN COFACTEUR DU MOLYBDÈNE DE TYPE A
417,TACHYCARDIE SUPRAVENTRICULAIRE
482,OSTÉOARTHRITE
371,PSORIASIS
401,ADÉNOCARCINOME PANCRÉATIQUE
691,LYMPHOME
656,NARCOLEPSIE
724,CARCINOME ÉPIDERMOÏDE DE LA TÊTE ET DU COU
1039,SYNDROME DE CUSHING ENDOGÈNE
230,SEPTICÉMIE
400,CANCER COLORECTAL MÉTASTATIQUE
243,ACCIDENT VASCULAIRE CÉRÉBRAL
207,SYNDROME DE STRESS POST-TRAUMATIQUE
291,TUMEURS À RÉCEPTEURS POSITIFS À LA SOMATOSTATINE
421,INSUFFISANCE CARDIAQUE
337,CANCER GASTRIQUE
619,CANCER DE LA JONCTION OESOPHAGO-GASTRIQUE
952,PERSISTANCE DU CANAL ARTÉRIEL
997,SYNDROME DE SJOGREN
1005,MALADIES INFLAMMATOIRES CHRONIQUES
857,ANÉMIE HÉMOLYTIQUE AUTOIMMUNE
836,SYNDROME DE LENNOX-GASTAUT
465,ARTHROPLASTIE DE LA HANCHE
723,LYMPHOME À CELLULES B NON-HODGKINIEN
61,FIBROSE KYSTIQUE
79,MALADIE DE FABRY
120,MALADIE DE HUNTINGTON
288,DÉGÉNÉRESCENCE MACULAIRE NÉOVASCULAIRE RELIÉE À L'ÂGE
776,PUSTOLOSE PALMOPLANTAIRE
44,POLYNEUROPATHIE INFLAMMATOIRE DÉMYÉLINISANTE CHRONIQUE (PIDC)
958,CANCER DU SEIN AYANT UN HER-2 FAIBLE À UN STADE MÉTASTATIQUE ET NON-OPÉRABLE
564,RÉTINOPATHIE DES PRÉMATURÉS
858,FONTAN PALLIATION
437,TRAUMATISME CÉRÉBRAL
420,DÉPENDANCE
507,TUMEURS SOLIDE DE RECHUTE OU RÉFRACTAIRE
1044,TUMEURS À UN STADE AVANCÉ
369,ATRÉSIE DES VOIES BILIAIRES
918,L'ACIDOSE TUBULAIRE RÉNALE DISTALE
1014,ÉVÉNEMENTS VASCULAIRES INDÉSIRABLES
1048,SYNDROME DE RETT
98,HÉMOPHILIE
197,CANCER OVARIEN RÉSISTANT AU PLATINE
1008,VULVODYNIE
982,L'ICHTHYOSE LAMELLAIRE
111,HYPERCHOLESTÉROLÉMIE FAMILIALE HÉTÉROZYGOTE
134,ACCIDENT ISCHÉMIQUE ET ACCIDENT VASCULAIRE CÉRÉBRAL MINEUR
888,MULTIPLE OSTÉOCHONDROMES
6,LEUCÉMIE MYÉLOGÈNE AIGUË
728,MALFORMATIONS CAPILLAIRES FACIALES
499,SYNDROME CORONARIEN AIGU
534,THALASSÉMIE
675,HYPOALPHALIPOPROTÉINÉMIE PRINCIPALEMENT FAMILIALE
251,MALADIE DE GILLES DE LA TOURETTE
945,SYNDROME DES JAMBES SANS REPOS
9,TROUBLE D'HYPERACTIVITÉ AVEC DÉFICIT DE L'ATTENTION
948,PARALYSIE CÉRÉBRALE
664,SYNDROME DE SJÖGREN
194,CARCINOMATOSE PÉRITONÉALE
148,LEUCÉMIE LYMPHOBLASTIQUE
760,CARCINOME DES VOIES URINAIRES
847,RETENTION URINAIRE POSTOPÉRATOIRE
797,IMMUNODÉFICIENCES PRIMAIRES
585,PEMPHIGUS VULGAIRE
11,ALLERGIES ENVIRONNEMENTALES
13,ALLERGIES RESPIRATOIRES
387,DYSLIPIDÉMIE
302,NAUSÉES ET VOMISSEMENTS
428,TOXICOMANIE
129,IMMUNOSUPPRESSEURS
557,SYNDROME DE CHASSE
273,HYPERPARATHYROÏDIE SECONDAIRE
277,AMÉLIORATION DE LA SANTÉ
170,PERFUSION MYOCARDIQUE
436,TRAUMATISME CRANIO-CÉRÉBRAL
297,PSORIASIS PALMOPLANTAIRE
450,TROUBLES D'HYPERPHAGIE BOULIMIQUE
455,ÉPANCHEMENTS DE L'OREILLE MOYENNE
462,PANCREATITE
447,NODULES PULMONAIRES
405,INCONTINENCE URINAIRE
524,DYSFONCTIONNEMENT VÉSICAL NEUROGÈNE
511,HYPERHIDROSE AXILLAIRE
541,CARCINOME DES CELLULES MÉDULLAIRES RÉNALES
516,"CANCER DU SEIN HER2-NÉGATIF MÉTASTATIQUE OU AVEC GÈNE BRCA, INOPÉRABLE ET LOCALEMENT AVANCÉ"
203,POSTMÉNOPAUSIQUE
107,VIRUS DE L'HÉPATITE C DE GÉNOTYPE 2 OU 3
376,UVÉITE INTERMÉDIAIRE
545,CHOLANGIOME MALIN AVANCÉ ET NON RÉSÉCABLE
607,FRACTURE DE LA HANCHE
599,ARYTHMIE VENTRICULAIRE
133,INFECTION INTRA-ABDOMINALE
937,COAGULOPATHIE
920,MALADIE HEMOLYTIQUE
647,SPONDYLARTHRITE AXIALE RADIOGRAPHIQUE ACTIVE
638,ASTROCYTOME ANAPLASIQUE
901,LE CANCER DU PÉNIS
770,MALADIE VEINO-OCCLUSIVE
833,L'AMYGDALECTOMIE
814,MALADIE DE STILL CHEZ L'ADULTE
752,ONYCHOMYCOSE SOUS-UNGÉALE DISTALE (OSD)
713,GLIOSARCOME
749,CARCINOME DE LA LIGNE MÉDIANE ASSOCIÉ À NUT
754,OSTÉONÉCROSE
741,PIED D'ATHLETE (TINEA PEDIS)
653,FUSION INTERSOMATIQUE POSTÉRIEURE LOMBAIRE
72,EMPHYSÈME PULMONAIRE
899,LICHEN PLAN BUCCAL
780,TUMEURS SOLIDES POSITIVES AUX ACE MÉTASTATIQUES
384,CICATRISATION ABNORMALE
373,STIMULATION OVARIENNE
777,PROBLÈME TEMPOROMANDIBULAIRE
849,METASTASE INTRACRÂNIENNE
688,ENTÉROBACTÉRIES
611,FIBROMATOSE AGRESSIVE
357,SITOSTÉROLÉMIE
5002,SARS
5003,TESTICULAR CANCER